Government Uniqueness Score,Consumer Ratings,Overall Satisfaction,Ease of Use,Performance,Customer Support,Value for Money,Features and Functionality,Reliability,Likelihood to Recommend,Additional Comments,Design and Aesthetics,Build Quality,Packaging,Performance in Specific Scenarios,Long-Term Satisfaction,Product Rank
3.9,3.7,3.8,3.7,3.8,3.6,3.8,3.7,3.6,3.8,Decent choice,3.7,3.8,3.7,3.7,3.9,0.380
4.5,4.5,4.4,4.6,4.6,4.4,4.5,4.6,4.4,4.6,Exceptional,4.4,4.5,4.6,4.4,4.6,0.385
4.2,4.1,4.2,4.1,4.3,4.1,4.2,4.3,4.1,4.3,Very good,4.1,4.2,4,4.2,4.3,0.390
4,4,4.1,4,4.1,3.9,4,4.1,3.9,4.1,Solid choice,4,4.1,4,4,4.1,0.395
3.7,3.5,3.6,3.6,3.7,3.6,3.6,3.7,3.5,3.7,Needs improvement,3.6,3.7,3.5,3.7,3.8,0.400
4.6,4.4,4.5,4.6,4.6,4.5,4.6,4.6,4.5,4.7,Highly recommended,4.5,4.6,4.6,4.5,4.7,0.405
4.1,4,4,4.2,4,4,4.1,4.2,4,4.1,Good choice,4,4.1,4.1,4,4.1,0.410
4.4,4.4,4.4,4.3,4.5,4.3,4.4,4.4,4.3,4.5,Top-notch,4.3,4.4,4.3,4.4,4.5,0.415
4.3,4.3,4.4,4.2,4.3,4.2,4.4,4.3,4.2,4.4,Very satisfied,4.2,4.3,4.2,4.3,4.4,0.420
4.2,3.9,4,4.2,4.1,4,4.1,4.3,4,4.2,Satisfactory,4,4.1,4.2,4.1,4.2,0.425
3.7,3.6,3.7,3.8,3.6,3.6,3.7,3.6,3.5,3.7,Could be better,3.7,3.6,3.7,3.6,3.7,0.430
4.5,4.6,4.5,4.5,4.7,4.6,4.5,4.6,4.4,4.6,Outstanding,4.6,4.5,4.5,4.6,4.7,0.435
4,4.1,4.2,4.1,4.3,4.2,4.1,4.2,4,4.2,Good choice,4.1,4.2,4.1,4.3,4,0.440
3.8,3.7,3.7,3.6,3.7,3.7,3.7,3.6,3.6,3.7,Satisfactory,3.7,3.6,3.6,3.7,3.8,0.445
4.5,4.6,4.6,4.5,4.7,4.7,4.6,4.7,4.5,4.7,Exceptional,4.6,4.7,4.7,4.6,4.8,0.450
4.2,4.2,4.3,4.1,4.3,4.2,4.3,4.4,4.1,4.3,Highly rated,4.1,4.3,4.2,4.3,4.4,0.455
4,3.8,3.9,4,3.9,3.8,3.9,3.9,3.8,4,Above average,4,3.9,3.9,3.9,4,0.460
3.9,4,4.1,3.9,4.1,3.9,4,4,3.9,4.1,Solid choice,4,4.1,3.9,4,4.1,0.465
4.6,4.7,4.6,4.5,4.7,4.7,4.7,4.6,4.6,4.7,Highly recommended,4.7,4.6,4.6,4.7,4.8,0.470
4.2,4.2,4.3,4.2,4.4,4.2,4.3,4.4,4.2,4.4,Excellent choice,4.2,4.3,4.2,4.3,4.4,0.475
3.8,3.7,3.7,3.7,3.7,3.6,3.7,3.6,3.6,3.7,Good,3.7,3.7,3.6,3.7,3.8,0.480
4.5,4.6,4.6,4.5,4.7,4.7,4.6,4.7,4.5,4.7,Outstanding,4.6,4.7,4.7,4.6,4.8,0.485
4,4.1,4.2,4.1,4.3,4.2,4.1,4.2,4.1,4.2,Great value,4.1,4.2,4.1,4.3,4,0.490
3.8,3.7,3.7,3.6,3.7,3.7,3.7,3.6,3.6,3.7,Satisfactory,3.7,3.6,3.6,3.7,3.8,0.495
4.5,4.6,4.6,4.5,4.7,4.7,4.6,4.7,4.5,4.7,Exceptional,4.6,4.7,4.7,4.6,4.8,0.500
4.2,4.2,4.3,4.1,4.3,4.2,4.3,4.4,4.1,4.3,Highly rated,4.1,4.3,4.2,4.3,4.4,0.505
4,3.8,3.9,4,3.9,3.8,3.9,3.9,3.8,4,Above average,4,3.9,3.9,3.9,4,0.510
3.9,4,4.1,3.9,4.1,3.9,4,4,3.9,4.1,Solid choice,4,4.1,3.9,4,4.1,0.515
4.6,4.7,4.6,4.5,4.7,4.7,4.7,4.6,4.6,4.7,Highly recommended,4.7,4.6,4.6,4.7,4.8,0.520
4.2,4.2,4.3,4.2,4.4,4.2,4.3,4.4,4.2,4.4,Excellent choice,4.2,4.3,4.2,4.3,4.4,0.525
3.8,3.7,3.7,3.7,3.7,3.6,3.7,3.6,3.6,3.7,Good,3.7,3.7,3.6,3.7,3.8,0.530
4.5,4.6,4.6,4.5,4.7,4.7,4.6,4.7,4.5,4.7,Outstanding,4.6,4.7,4.7,4.6,4.8,0.535
4,4.1,4.2,4.1,4.3,4.2,4.1,4.2,4.1,4.2,Great value,4.1,4.2,4.1,4.3,4,0.540
3.8,3.7,3.7,3.6,3.7,3.7,3.7,3.6,3.6,3.7,Satisfactory,3.7,3.6,3.6,3.7,3.8,0.545
4.5,4.6,4.6,4.5,4.7,4.7,4.6,4.7,4.5,4.7,Exceptional,4.6,4.7,4.7,4.6,4.8,0.550
4.2,4.2,4.3,4.1,4.3,4.2,4.3,4.4,4.1,4.3,Highly rated,4.1,4.3,4.2,4.3,4.4,0.555
4,3.8,3.9,4,3.9,3.8,3.9,3.9,3.8,4,Above average,4,3.9,3.9,3.9,4,0.560
3.9,4,4.1,3.9,4.1,3.9,4,4,3.9,4.1,Solid choice,4,4.1,3.9,4,4.1,0.565
4.6,4.7,4.6,4.5,4.7,4.7,4.7,4.6,4.6,4.7,Highly recommended,4.7,4.6,4.6,4.7,4.8,0.570
4.2,4.2,4.3,4.2,4.4,4.2,4.3,4.4,4.2,4.4,Excellent choice,4.2,4.3,4.2,4.3,4.4,0.575
3.8,3.7,3.7,3.7,3.7,3.6,3.7,3.6,3.6,3.7,Good,3.7,3.7,3.6,3.7,3.8,0.580
4.5,4.6,4.6,4.5,4.7,4.7,4.6,4.7,4.5,4.7,Outstanding,4.6,4.7,4.7,4.6,4.8,0.585
4,4.1,4.2,4.1,4.3,4.2,4.1,4.2,4.1,4.2,Great value,4.1,4.2,4.1,4.3,4,0.590
3.8,3.7,3.7,3.6,3.7,3.7,3.7,3.6,3.6,3.7,Satisfactory,3.7,3.6,3.6,3.7,3.8,0.595
4.5,4.6,4.6,4.5,4.7,4.7,4.6,4.7,4.5,4.7,Exceptional,4.6,4.7,4.7,4.6,4.8,0.600
4.2,4.2,4.3,4.1,4.3,4.2,4.3,4.4,4.1,4.3,Highly rated,4.1,4.3,4.2,4.3,4.4,0.605
4,3.8,3.9,4,3.9,3.8,3.9,3.9,3.8,4,Above average,4,3.9,3.9,3.9,4,0.610
3.9,4,4.1,3.9,4.1,3.9,4,4,3.9,4.1,Solid choice,4,4.1,3.9,4,4.1,0.615
4.6,4.7,4.6,4.5,4.7,4.7,4.7,4.6,4.6,4.7,Highly recommended,4.7,4.6,4.6,4.7,4.8,0.620
4.2,4.2,4.3,4.2,4.4,4.2,4.3,4.4,4.2,4.4,Excellent choice,4.2,4.3,4.2,4.3,4.4,0.625
3.8,3.7,3.7,3.7,3.7,3.6,3.7,3.6,3.6,3.7,Good,3.7,3.7,3.6,3.7,3.8,0.630
4.5,4.6,4.6,4.5,4.7,4.7,4.6,4.7,4.5,4.7,Outstanding,4.6,4.7,4.7,4.6,4.8,0.635
4,4.1,4.2,4.1,4.3,4.2,4.1,4.2,4.1,4.2,Great value,4.1,4.2,4.1,4.3,4,0.640
3.8,3.7,3.7,3.6,3.7,3.7,3.7,3.6,3.6,3.7,Satisfactory,3.7,3.6,3.6,3.7,3.8,0.645
4.5,4.6,4.6,4.5,4.7,4.7,4.6,4.7,4.5,4.7,Exceptional,4.6,4.7,4.7,4.6,4.8,0.650
4.2,4.2,4.3,4.1,4.3,4.2,4.3,4.4,4.1,4.3,Highly rated,4.1,4.3,4.2,4.3,4.4,0.655
4,3.8,3.9,4,3.9,3.8,3.9,3.9,3.8,4,Above average,4,3.9,3.9,3.9,4,0.660
3.9,4,4.1,3.9,4.1,3.9,4,4,3.9,4.1,Solid choice,4,4.1,3.9,4,4.1,0.665
4.6,4.7,4.6,4.5,4.7,4.7,4.7,4.6,4.6,4.7,Highly recommended,4.7,4.6,4.6,4.7,4.8,0.670
4.2,4.2,4.3,4.2,4.4,4.2,4.3,4.4,4.2,4.4,Excellent choice,4.2,4.3,4.2,4.3,4.4,0.675
3.8,3.7,3.7,3.7,3.7,3.6,3.7,3.6,3.6,3.7,Good,3.7,3.7,3.6,3.7,3.8,0.680
4.5,4.6,4.6,4.5,4.7,4.7,4.6,4.7,4.5,4.7,Outstanding,4.6,4.7,4.7,4.6,4.8,0.685
4,4.1,4.2,4.1,4.3,4.2,4.1,4.2,4.1,4.2,Great value,4.1,4.2,4.1,4.3,4,0.690
3.8,3.7,3.7,3.6,3.7,3.7,3.7,3.6,3.6,3.7,Satisfactory,3.7,3.6,3.6,3.7,3.8,0.695
4.5,4.6,4.6,4.5,4.7,4.7,4.6,4.7,4.5,4.7,Exceptional,4.6,4.7,4.7,4.6,4.8,0.700
4.2,4.2,4.3,4.1,4.3,4.2,4.3,4.4,4.1,4.3,Highly rated,4.1,4.3,4.2,4.3,4.4,0.705
4,3.8,3.9,4,3.9,3.8,3.9,3.9,3.8,4,Above average,4,3.9,3.9,3.9,4,0.710
3.9,4,4.1,3.9,4.1,3.9,4,4,3.9,4.1,Solid choice,4,4.1,3.9,4,4.1,0.715
4.6,4.7,4.6,4.5,4.7,4.7,4.7,4.6,4.6,4.7,Highly recommended,4.7,4.6,4.6,4.7,4.8,0.720
4.2,4.2,4.3,4.2,4.4,4.2,4.3,4.4,4.2,4.4,Excellent choice,4.2,4.3,4.2,4.3,4.4,0.725
3.8,3.7,3.7,3.7,3.7,3.6,3.7,3.6,3.6,3.7,Good,3.7,3.7,3.6,3.7,3.8,0.730
4.5,4.6,4.6,4.5,4.7,4.7,4.6,4.7,4.5,4.7,Outstanding,4.6,4.7,4.7,4.6,4.8,0.735
4,4.1,4.2,4.1,4.3,4.2,4.1,4.2,4.1,4.2,Great value,4.1,4.2,4.1,4.3,4,0.740
3.8,3.7,3.7,3.6,3.7,3.7,3.7,3.6,3.6,3.7,Satisfactory,3.7,3.6,3.6,3.7,3.8,0.745
4.5,4.6,4.6,4.5,4.7,4.7,4.6,4.7,4.5,4.7,Exceptional,4.6,4.7,4.7,4.6,4.8,0.750
4.2,4.2,4.3,4.1,4.3,4.2,4.3,4.4,4.1,4.3,Highly rated,4.1,4.3,4.2,4.3,4.4,0.755
4,3.8,3.9,4,3.9,3.8,3.9,3.9,3.8,4,Above average,4,3.9,3.9,3.9,4,0.760
3.9,4,4.1,3.9,4.1,3.9,4,4,3.9,4.1,Solid choice,4,4.1,3.9,4,4.1,0.765
4.6,4.7,4.6,4.5,4.7,4.7,4.7,4.6,4.6,4.7,Highly recommended,4.7,4.6,4.6,4.7,4.8,0.770
4.2,4.2,4.3,4.2,4.4,4.2,4.3,4.4,4.2,4.4,Excellent choice,4.2,4.3,4.2,4.3,4.4,0.775
3.8,3.7,3.7,3.7,3.7,3.6,3.7,3.6,3.6,3.7,Good,3.7,3.7,3.6,3.7,3.8,0.780
4.5,4.6,4.6,4.5,4.7,4.7,4.6,4.7,4.5,4.7,Outstanding,4.6,4.7,4.7,4.6,4.8,0.785
4,4.1,4.2,4.1,4.3,4.2,4.1,4.2,4.1,4.2,Great value,4.1,4.2,4.1,4.3,4,0.790
3.8,3.7,3.7,3.6,3.7,3.7,3.7,3.6,3.6,3.7,Satisfactory,3.7,3.6,3.6,3.7,3.8,0.795
4.5,4.6,4.6,4.5,4.7,4.7,4.6,4.7,4.5,4.7,Exceptional,4.6,4.7,4.7,4.6,4.8,0.800
4.2,4.2,4.3,4.1,4.3,4.2,4.3,4.4,4.1,4.3,Highly rated,4.1,4.3,4.2,4.3,4.4,0.805
4,3.8,3.9,4,3.9,3.8,3.9,3.9,3.8,4,Above average,4,3.9,3.9,3.9,4,0.810
3.9,4,4.1,3.9,4.1,3.9,4,4,3.9,4.1,Solid choice,4,4.1,3.9,4,4.1,0.815
4.6,4.7,4.6,4.5,4.7,4.7,4.7,4.6,4.6,4.7,Highly recommended,4.7,4.6,4.6,4.7,4.8,0.820
4.2,4.2,4.3,4.2,4.4,4.2,4.3,4.4,4.2,4.4,Excellent choice,4.2,4.3,4.2,4.3,4.4,0.825
3.8,3.7,3.7,3.7,3.7,3.6,3.7,3.6,3.6,3.7,Good,3.7,3.7,3.6,3.7,3.8,0.830
4.5,4.6,4.6,4.5,4.7,4.7,4.6,4.7,4.5,4.7,Outstanding,4.6,4.7,4.7,4.6,4.8,0.835
4,4.1,4.2,4.1,4.3,4.2,4.1,4.2,4.1,4.2,Great value,4.1,4.2,4.1,4.3,4,0.840
3.8,3.7,3.7,3.6,3.7,3.7,3.7,3.6,3.6,3.7,Satisfactory,3.7,3.6,3.6,3.7,3.8,0.845
4.5,4.6,4.6,4.5,4.7,4.7,4.6,4.7,4.5,4.7,Exceptional,4.6,4.7,4.7,4.6,4.8,0.850
4.2,4.2,4.3,4.1,4.3,4.2,4.3,4.4,4.1,4.3,Highly rated,4.1,4.3,4.2,4.3,4.4,0.855
4,3.8,3.9,4,3.9,3.8,3.9,3.9,3.8,4,Above average,4,3.9,3.9,3.9,4,0.860
3.9,4,4.1,3.9,4.1,3.9,4,4,3.9,4.1,Solid choice,4,4.1,3.9,4,4.1,0.865
4.6,4.7,4.6,4.5,4.7,4.7,4.7,4.6,4.6,4.7,Highly recommended,4.7,4.6,4.6,4.7,4.8,0.870
4.2,4.2,4.3,4.2,4.4,4.2,4.3,4.4,4.2,4.4,Excellent choice,4.2,4.3,4.2,4.3,4.4,0.875
3.8,3.7,3.7,3.7,3.7,3.6,3.7,3.6,3.6,3.7,Good,3.7,3.7,3.6,3.7,3.8,0.880
4.5,4.6,4.6,4.5,4.7,4.7,4.6,4.7,4.5,4.7,Outstanding,4.6,4.7,4.7,4.6,4.8,0.885
4,4.1,4.2,4.1,4.3,4.2,4.1,4.2,4.1,4.2,Great value,4.1,4.2,4.1,4.3,4,0.890
3.8,3.7,3.7,3.6,3.7,3.7,3.7,3.6,3.6,3.7,Satisfactory,3.7,3.6,3.6,3.7,3.8,0.895
4.5,4.6,4.6,4.5,4.7,4.7,4.6,4.7,4.5,4.7,Exceptional,4.6,4.7,4.7,4.6,4.8,0.900
4.2,4.2,4.3,4.2,4.4,4.2,4.3,4.4,4.2,4.4,Highly rated,4.1,4.3,4.2,4.3,4.4,0.905
4,3.8,3.9,4,3.9,3.8,3.9,3.9,3.8,4,Above average,4,3.9,3.9,3.9,4,0.910
3.9,4,4.1,3.9,4.1,3.9,4,4,3.9,4.1,Solid choice,4,4.1,3.9,4,4.1,0.915
4.6,4.7,4.6,4.5,4.7,4.7,4.7,4.6,4.6,4.7,Highly recommended,4.7,4.6,4.6,4.7,4.8,0.920
4.2,4.2,4.3,4.2,4.4,4.2,4.3,4.4,4.2,4.4,Excellent choice,4.2,4.3,4.2,4.3,4.4,0.925
3.8,3.7,3.7,3.7,3.7,3.6,3.7,3.6,3.6,3.7,Good,3.7,3.7,3.6,3.7,3.8,0.930
4.5,4.6,4.6,4.5,4.7,4.7,4.6,4.7,4.5,4.7,Outstanding,4.6,4.7,4.7,4.6,4.8,0.935
4,4.1,4.2,4.1,4.3,4.2,4.1,4.2,4.1,4.2,Great value,4.1,4.2,4.1,4.3,4,0.940
3.8,3.7,3.7,3.6,3.7,3.7,3.7,3.6,3.6,3.7,Satisfactory,3.7,3.6,3.6,3.7,3.8,0.945
4.5,4.6,4.6,4.5,4.7,4.7,4.6,4.7,4.5,4.7,Exceptional,4.6,4.7,4.7,4.6,4.8,0.950
4.2,4.2,4.3,4.2,4.4,4.2,4.3,4.4,4.2,4.4,Highly rated,4.1,4.3,4.2,4.3,4.4,0.955
4,3.8,3.9,4,3.9,3.8,3.9,3.9,3.8,4,Above average,4,3.9,3.9,3.9,4,0.960
3.9,4,4.1,3.9,4.1,3.9,4,4,3.9,4.1,Solid choice,4,4.1,3.9,4,4.1,0.965
4.6,4.7,4.6,4.5,4.7,4.7,4.7,4.6,4.6,4.7,Highly recommended,4.7,4.6,4.6,4.7,4.8,0.970
4.2,4.2,4.3,4.2,4.4,4.2,4.3,4.4,4.2,4.4,Excellent choice,4.2,4.3,4.2,4.3,4.4,0.975
3.8,3.7,3.7,3.7,3.7,3.6,3.7,3.6,3.6,3.7,Good,3.7,3.7,3.6,3.7,3.8,0.980
4.5,4.6,4.6,4.5,4.7,4.7,4.6,4.7,4.5,4.7,Outstanding,4.6,4.7,4.7,4.6,4.8,0.985
4,4.1,4.2,4.1,4.3,4.2,4.1,4.2,4.1,4.2,Great value,4.1,4.2,4.1,4.3,4,0.990
3.8,3.7,3.7,3.6,3.7,3.7,3.7,3.6,3.6,3.7,Satisfactory,3.7,3.6,3.6,3.7,3.8,0.995
4.5,4.6,4.6,4.5,4.7,4.7,4.6,4.7,4.5,4.7,Exceptional,4.6,4.7,4.7,4.6,4.8,1.000
