date,home_team,score,away_team
26-12-2022,Everton,Everton,Wolves
31-12-2022,Wolves,Wolves,Man United
04-01-2023,Aston Villa,Aston Villa,Wolves
14-01-2023,Wolves,Wolves,West Ham
22-01-2023,Man City,Man City,Wolves
04-02-2023,Wolves,Wolves,Liverpool
11-02-2023,Southampton,Southampton,Wolves
18-02-2023,Wolves,Wolves,Bournemouth
24-02-2023,Fulham,Fulham,Wolves
01-03-2023,Liverpool,Liverpool,Wolves
04-03-2023,Wolves,Wolves,Tottenham
12-03-2023,Newcastle,Newcastle,Wolves
18-03-2023,Wolves,Wolves,Leeds
01-04-2023,Nott'm Forest,Nott'm Forest,Wolves
